table_id,year,row_code,row_type,column_code,column_type,value
259,2024,22,Commodity,GFGD,Industry,6047.0
259,2024,22,Commodity,GFGN,Industry,1253.0
259,2024,22,Commodity,GSLE,Industry,6477.0
259,2024,22,Commodity,GSLG,Industry,39495.0
259,2024,22,Commodity,HS,Industry,149.0
259,2024,22,Commodity,ORE,Industry,43660.0
259,2024,22,Commodity,T001,Industry,458724.0
259,2024,22,Commodity,T019,Industry,834117.0
259,2024,23,Commodity,111CA,Industry,2130.0
259,2024,23,Commodity,113FF,Industry,30.0
259,2024,23,Commodity,211,Industry,381.0
259,2024,23,Commodity,212,Industry,3874.0
259,2024,23,Commodity,213,Industry,1708.0
259,2024,23,Commodity,22,Industry,4965.0
259,2024,23,Commodity,23,Industry,620.0
259,2024,23,Commodity,311FT,Industry,2883.0
259,2024,23,Commodity,313TT,Industry,106.0
259,2024,23,Commodity,315AL,Industry,4.0
259,2024,23,Commodity,321,Industry,496.0
259,2024,23,Commodity,322,Industry,1348.0
259,2024,23,Commodity,323,Industry,331.0
259,2024,23,Commodity,324,Industry,5369.0
259,2024,23,Commodity,325,Industry,2142.0
259,2024,23,Commodity,326,Industry,994.0
259,2024,23,Commodity,327,Industry,1340.0
259,2024,23,Commodity,331,Industry,1577.0
259,2024,23,Commodity,332,Industry,1721.0
259,2024,23,Commodity,333,Industry,878.0
259,2024,23,Commodity,334,Industry,474.0
259,2024,23,Commodity,335,Industry,328.0
259,2024,23,Commodity,3361MV,Industry,917.0
259,2024,23,Commodity,3364OT,Industry,497.0
259,2024,23,Commodity,337,Industry,165.0
259,2024,23,Commodity,339,Industry,318.0
259,2024,23,Commodity,42,Industry,5562.0
259,2024,23,Commodity,441,Industry,2578.0
259,2024,23,Commodity,445,Industry,1321.0
259,2024,23,Commodity,452,Industry,2032.0
259,2024,23,Commodity,481,Industry,445.0
259,2024,23,Commodity,482,Industry,2990.0
259,2024,23,Commodity,483,Industry,63.0
259,2024,23,Commodity,484,Industry,683.0
259,2024,23,Commodity,485,Industry,815.0
259,2024,23,Commodity,486,Industry,2718.0
259,2024,23,Commodity,487OS,Industry,1070.0
259,2024,23,Commodity,493,Industry,927.0
259,2024,23,Commodity,4A0,Industry,5189.0
259,2024,23,Commodity,511,Industry,597.0
259,2024,23,Commodity,512,Industry,119.0
259,2024,23,Commodity,513,Industry,3261.0
259,2024,23,Commodity,514,Industry,2272.0
259,2024,23,Commodity,521CI,Industry,7530.0
259,2024,23,Commodity,523,Industry,2735.0
259,2024,23,Commodity,524,Industry,1319.0
259,2024,23,Commodity,525,Industry,218.0
259,2024,23,Commodity,532RL,Industry,1870.0
259,2024,23,Commodity,5411,Industry,227.0
259,2024,23,Commodity,5412OP,Industry,3399.0
259,2024,23,Commodity,5415,Industry,116.0
259,2024,23,Commodity,55,Industry,1104.0
259,2024,23,Commodity,561,Industry,1221.0
259,2024,23,Commodity,562,Industry,253.0
259,2024,23,Commodity,61,Industry,2327.0
259,2024,23,Commodity,621,Industry,1158.0
259,2024,23,Commodity,622,Industry,3442.0
259,2024,23,Commodity,623,Industry,866.0
259,2024,23,Commodity,624,Industry,1007.0
259,2024,23,Commodity,711AS,Industry,417.0
259,2024,23,Commodity,713,Industry,969.0
259,2024,23,Commodity,721,Industry,3067.0
259,2024,23,Commodity,722,Industry,4426.0
259,2024,23,Commodity,81,Industry,7576.0
259,2024,23,Commodity,F02R,Industry,965104.0
259,2024,23,Commodity,F02S,Industry,797005.0
259,2024,23,Commodity,F040,Industry,127.0
259,2024,23,Commodity,F06S,Industry,17092.0
259,2024,23,Commodity,F07S,Industry,20235.0
259,2024,23,Commodity,F10S,Industry,458026.0
259,2024,23,Commodity,GFE,Industry,628.0
259,2024,23,Commodity,GFGD,Industry,13203.0
259,2024,23,Commodity,GFGN,Industry,838.0
259,2024,23,Commodity,GSLE,Industry,77058.0
259,2024,23,Commodity,GSLG,Industry,48481.0
259,2024,23,Commodity,HS,Industry,85174.0
259,2024,23,Commodity,ORE,Industry,58125.0
259,2024,23,Commodity,T001,Industry,396989.0
259,2024,23,Commodity,T019,Industry,2.654577e6
259,2024,311FT,Commodity,111CA,Industry,60561.0
259,2024,311FT,Commodity,113FF,Industry,174.0
259,2024,311FT,Commodity,311FT,Industry,257557.0
259,2024,311FT,Commodity,313TT,Industry,13.0
259,2024,311FT,Commodity,315AL,Industry,510.0
259,2024,311FT,Commodity,321,Industry,29.0
259,2024,311FT,Commodity,322,Industry,392.0
259,2024,311FT,Commodity,323,Industry,735.0
259,2024,311FT,Commodity,324,Industry,333.0
259,2024,311FT,Commodity,325,Industry,9200.0
259,2024,311FT,Commodity,326,Industry,257.0
259,2024,311FT,Commodity,327,Industry,1160.0
259,2024,311FT,Commodity,331,Industry,7.0
259,2024,311FT,Commodity,339,Industry,27.0
259,2024,311FT,Commodity,42,Industry,4303.0
259,2024,311FT,Commodity,441,Industry,0.0
259,2024,311FT,Commodity,445,Industry,3713.0
259,2024,311FT,Commodity,452,Industry,1270.0
259,2024,311FT,Commodity,481,Industry,559.0
259,2024,311FT,Commodity,482,Industry,1.0
259,2024,311FT,Commodity,483,Industry,383.0
259,2024,311FT,Commodity,484,Industry,24.0
259,2024,311FT,Commodity,485,Industry,0.0
259,2024,311FT,Commodity,487OS,Industry,12.0
259,2024,311FT,Commodity,4A0,Industry,2725.0
259,2024,311FT,Commodity,511,Industry,46.0
259,2024,311FT,Commodity,512,Industry,4.0
259,2024,311FT,Commodity,514,Industry,499.0
259,2024,311FT,Commodity,5412OP,Industry,6395.0
259,2024,311FT,Commodity,55,Industry,167.0
259,2024,311FT,Commodity,561,Industry,1.0
259,2024,311FT,Commodity,61,Industry,7566.0
259,2024,311FT,Commodity,621,Industry,10.0
259,2024,311FT,Commodity,622,Industry,8372.0
259,2024,311FT,Commodity,623,Industry,6342.0
259,2024,311FT,Commodity,624,Industry,20824.0
259,2024,311FT,Commodity,711AS,Industry,2124.0
259,2024,311FT,Commodity,713,Industry,8796.0
259,2024,311FT,Commodity,721,Industry,8236.0
259,2024,311FT,Commodity,722,Industry,122903.0
259,2024,311FT,Commodity,81,Industry,1810.0
259,2024,311FT,Commodity,F010,Industry,1.528583e6
259,2024,311FT,Commodity,F030,Industry,36.0
259,2024,311FT,Commodity,F040,Industry,97994.0
259,2024,311FT,Commodity,GFE,Industry,628.0
259,2024,311FT,Commodity,GFGD,Industry,7491.0
259,2024,311FT,Commodity,GFGN,Industry,163.0
259,2024,311FT,Commodity,GSLG,Industry,134298.0
259,2024,311FT,Commodity,T001,Industry,680620.0
259,2024,311FT,Commodity,T019,Industry,2.307233e6
259,2024,313TT,Commodity,111CA,Industry,13.0
259,2024,313TT,Commodity,113FF,Industry,6.0
259,2024,313TT,Commodity,212,Industry,1.0
259,2024,313TT,Commodity,23,Industry,3272.0
259,2024,313TT,Commodity,311FT,Industry,122.0
259,2024,313TT,Commodity,313TT,Industry,9146.0
259,2024,313TT,Commodity,315AL,Industry,2102.0
259,2024,313TT,Commodity,321,Industry,696.0
259,2024,313TT,Commodity,322,Industry,4176.0
259,2024,313TT,Commodity,323,Industry,324.0
259,2024,313TT,Commodity,324,Industry,36.0
259,2024,313TT,Commodity,325,Industry,3.0
259,2024,313TT,Commodity,326,Industry,3056.0
259,2024,313TT,Commodity,327,Industry,369.0
259,2024,313TT,Commodity,332,Industry,2.0
259,2024,313TT,Commodity,333,Industry,898.0
259,2024,313TT,Commodity,334,Industry,0.0
259,2024,313TT,Commodity,335,Industry,0.0
259,2024,313TT,Commodity,3361MV,Industry,2264.0
259,2024,313TT,Commodity,3364OT,Industry,956.0
259,2024,313TT,Commodity,337,Industry,3747.0
259,2024,313TT,Commodity,339,Industry,1454.0
259,2024,313TT,Commodity,42,Industry,2027.0
259,2024,313TT,Commodity,441,Industry,50.0
259,2024,313TT,Commodity,445,Industry,86.0
259,2024,313TT,Commodity,452,Industry,5076.0
259,2024,313TT,Commodity,483,Industry,34.0
259,2024,313TT,Commodity,484,Industry,26.0
259,2024,313TT,Commodity,486,Industry,0.0
259,2024,313TT,Commodity,487OS,Industry,17.0
259,2024,313TT,Commodity,493,Industry,2.0
259,2024,313TT,Commodity,4A0,Industry,1523.0
259,2024,313TT,Commodity,511,Industry,1.0
259,2024,313TT,Commodity,512,Industry,245.0
259,2024,313TT,Commodity,513,Industry,5.0
259,2024,313TT,Commodity,514,Industry,6.0
259,2024,313TT,Commodity,532RL,Industry,374.0
259,2024,313TT,Commodity,5412OP,Industry,478.0
259,2024,313TT,Commodity,55,Industry,22.0
259,2024,313TT,Commodity,561,Industry,353.0
259,2024,313TT,Commodity,562,Industry,363.0
259,2024,313TT,Commodity,61,Industry,14.0
259,2024,313TT,Commodity,621,Industry,108.0
259,2024,313TT,Commodity,622,Industry,392.0
259,2024,313TT,Commodity,623,Industry,2001.0
259,2024,313TT,Commodity,624,Industry,1211.0
259,2024,313TT,Commodity,711AS,Industry,0.0
259,2024,313TT,Commodity,713,Industry,129.0
259,2024,313TT,Commodity,721,Industry,1195.0
259,2024,313TT,Commodity,722,Industry,468.0
259,2024,313TT,Commodity,81,Industry,712.0
259,2024,313TT,Commodity,F010,Industry,107460.0
259,2024,313TT,Commodity,F02E,Industry,1996.0
259,2024,313TT,Commodity,F02R,Industry,3100.0
