sample_track,model_id,target_id,horizon,observation_count,origin_start,origin_end,rmse,mae,mase,mean_error
abm_pandemic_masked_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,effective_federal_funds_rate,2,52,2010Q2,2025Q1,0.5499505664428433,0.38757795855418686,1.428539573561804,-0.031205108577708546
abm_pandemic_masked_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,effective_federal_funds_rate,4,50,2010Q2,2024Q3,1.123748578803588,0.8309650733380083,3.0268898096471126,-0.07066000799033435
abm_pandemic_masked_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,effective_federal_funds_rate,8,46,2010Q2,2023Q3,2.041755348151776,1.6893373585969553,6.089705153067422,-0.16560405889727126
abm_pandemic_masked_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,effective_federal_funds_rate,12,42,2010Q2,2022Q3,2.4157493213713273,2.054149768283891,7.424296158211516,-0.1322255915301805
abm_pandemic_masked_common_cells,beforeit_var_p1_constant,real_gdp,1,53,2010Q2,2025Q2,2.390544923349987,1.8740484955555883,0.7598140472612157,0.44689821501582305
abm_pandemic_masked_common_cells,beforeit_var_p1_constant,real_gdp,2,52,2010Q2,2025Q1,2.227759708945441,1.7037077321592735,0.6905775869128086,0.4528064333265014
abm_pandemic_masked_common_cells,beforeit_var_p1_constant,real_gdp,4,50,2010Q2,2024Q3,2.228705526522516,1.6612420499365452,0.6701377031638228,0.21348533108399267
abm_pandemic_masked_common_cells,beforeit_var_p1_constant,real_gdp,8,46,2010Q2,2023Q3,5.159141589485579,2.128192288963295,0.8676776048644056,0.6128700838053144
abm_pandemic_masked_common_cells,beforeit_var_p1_constant,real_gdp,12,42,2010Q2,2022Q3,1.902857391543315,1.4059533794601966,0.569681743117607,-0.38605185197120867
abm_pandemic_masked_common_cells,beforeit_var_p1_constant,gdp_deflator,1,53,2010Q2,2025Q2,1.1214035331727423,0.9274356564382785,1.233937897537521,0.2594712370554324
abm_pandemic_masked_common_cells,beforeit_var_p1_constant,gdp_deflator,2,52,2010Q2,2025Q1,1.429485937264223,1.0622696288859452,1.4159523971998125,0.31860278485975907
abm_pandemic_masked_common_cells,beforeit_var_p1_constant,gdp_deflator,4,50,2010Q2,2024Q3,1.7977332446277268,1.225111392454491,1.6330107127298152,0.2585127302078427
abm_pandemic_masked_common_cells,beforeit_var_p1_constant,gdp_deflator,8,46,2010Q2,2023Q3,1.7669926625875305,1.2533653277907455,1.7230712005280315,0.21735447060620097
abm_pandemic_masked_common_cells,beforeit_var_p1_constant,gdp_deflator,12,42,2010Q2,2022Q3,2.111511125304005,1.383671856178328,1.921756574363022,-0.051428245763818374
abm_pandemic_masked_common_cells,beforeit_var_p1_constant,nominal_gdp,1,53,2010Q2,2025Q2,2.6173940605526638,1.982885126814247,0.8010532017855668,0.7061144478900911
abm_pandemic_masked_common_cells,beforeit_var_p1_constant,nominal_gdp,2,52,2010Q2,2025Q1,2.637359518686562,1.9314946903209496,0.7911258611139066,0.7713478445903673
abm_pandemic_masked_common_cells,beforeit_var_p1_constant,nominal_gdp,4,50,2010Q2,2024Q3,2.929554605040166,2.1446728262194727,0.8511937084367989,0.4719345861614166
abm_pandemic_masked_common_cells,beforeit_var_p1_constant,nominal_gdp,8,46,2010Q2,2023Q3,5.6162514853608325,2.744025387577774,1.095489680440756,0.8301166293202192
