sample_track,model_id,benchmark_model_id,target_id,horizon,observation_count,rmse_ratio,mae_ratio,rmse_gain_percent
abm_all_available_common_cells,naive_historical_mean,beforeit_var_p1_constant,effective_federal_funds_rate,12,50,0.7807315338229672,0.8695827720750954,21.926846617703276
abm_all_available_common_cells,univariate_ar_p1_constant,beforeit_var_p1_constant,real_gdp,1,61,0.9953887965489984,0.9050641170917393,0.4611203451001633
abm_all_available_common_cells,univariate_ar_p1_constant,beforeit_var_p1_constant,real_gdp,2,60,1.0029631563915415,0.8826818384743568,-0.2963156391541544
abm_all_available_common_cells,univariate_ar_p1_constant,beforeit_var_p1_constant,real_gdp,4,58,1.1313203144526174,1.0384418337590648,-13.132031445261738
abm_all_available_common_cells,univariate_ar_p1_constant,beforeit_var_p1_constant,real_gdp,8,54,0.8546321053019413,0.8639797670907204,14.536789469805866
abm_all_available_common_cells,univariate_ar_p1_constant,beforeit_var_p1_constant,real_gdp,12,50,1.0200716596188604,1.0461276874723162,-2.007165961886037
abm_all_available_common_cells,univariate_ar_p1_constant,beforeit_var_p1_constant,gdp_deflator,1,61,0.7920992182467884,0.9170091738134971,20.79007817532116
abm_all_available_common_cells,univariate_ar_p1_constant,beforeit_var_p1_constant,gdp_deflator,2,60,0.7726933563479312,0.770254762985247,22.730664365206877
abm_all_available_common_cells,univariate_ar_p1_constant,beforeit_var_p1_constant,gdp_deflator,4,58,0.82276463661223,0.8013256674152126,17.723536338777002
abm_all_available_common_cells,univariate_ar_p1_constant,beforeit_var_p1_constant,gdp_deflator,8,54,0.9716951096942882,0.8628606496249615,2.8304890305711816
abm_all_available_common_cells,univariate_ar_p1_constant,beforeit_var_p1_constant,gdp_deflator,12,50,0.8883447754606705,0.8401766832124854,11.165522453932953
abm_all_available_common_cells,univariate_ar_p1_constant,beforeit_var_p1_constant,nominal_gdp,1,61,0.9688913355445131,0.9816338524212296,3.110866445548688
abm_all_available_common_cells,univariate_ar_p1_constant,beforeit_var_p1_constant,nominal_gdp,2,60,0.9656457669357654,0.9104145019336599,3.4354233064234574
abm_all_available_common_cells,univariate_ar_p1_constant,beforeit_var_p1_constant,nominal_gdp,4,58,1.1505539835348664,1.0014173099404005,-15.055398353486638
abm_all_available_common_cells,univariate_ar_p1_constant,beforeit_var_p1_constant,nominal_gdp,8,54,0.9297482059976784,0.8756128515977255,7.025179400232162
