idx,code,supply,imports,uses_before,uses_after,delta,delta_pct,gap_before_pct,gap_after_pct
39,513,695787.505520,153.683089,599285.644648,695787.505520,96501.860872,16.102815,-13.869444,0.000000
40,514,219744.697061,890.370411,169232.507053,219744.697061,50512.190008,29.847806,-22.986762,0.000000
41,521CI,765425.950427,8013.333699,707147.024060,765425.950427,58278.926367,8.241416,-7.613921,0.000000
42,523,474918.867312,55.524213,502200.797737,474918.867312,-27281.930425,-5.432475,5.744546,0.000000
43,524,832094.754956,57723.368138,845967.231400,832094.754956,-13872.476444,-1.639836,1.667175,0.000000
44,525,116398.593719,0.000000,139541.230785,116398.593719,-23142.637065,-16.584802,19.882231,0.000000
45,532RL,286988.069941,0.000000,361545.348811,286988.069941,-74557.278870,-20.621833,25.979226,0.000000
46,5411,298242.694946,2404.396711,301166.928162,298242.694946,-2924.233215,-0.970968,0.980488,0.000000
47,5412OP,1181200.730497,67853.562446,1738007.296426,1181200.730497,-556806.565929,-32.037067,47.139030,0.000000
48,5415,372924.029815,23640.425066,470318.790805,372924.029815,-97394.760990,-20.708244,26.116515,0.000000
49,55,474827.591843,0.000000,429021.549486,474827.591843,45806.042357,10.676863,-9.646879,0.000000
50,561,653750.116670,1023.231920,630094.764213,653750.116670,23655.352457,3.754253,-3.618409,0.000000
51,562,81355.536488,121.954967,96896.435277,81355.536488,-15540.898789,-16.038669,19.102448,0.000000
52,61,308741.923452,1543.771414,335245.529979,308741.923452,-26503.606527,-7.905730,8.584389,0.000000
53,621,863097.150748,56.515717,880353.800471,863097.150748,-17256.649723,-1.960195,1.999387,0.000000
54,622,706358.088168,2317.144377,853573.594169,706358.088168,-147215.506001,-17.246961,20.841484,0.000000
55,623,204934.695011,15.864061,206877.311062,204934.695011,-1942.616051,-0.939018,0.947920,0.000000
56,624,167299.271468,0.000000,170189.597291,167299.271468,-2890.325823,-1.698298,1.727638,0.000000
57,711AS,139372.673558,838.812213,130621.445702,139372.673558,8751.227856,6.699687,-6.279013,0.000000
58,713,111386.659309,0.000000,162261.510737,111386.659309,-50874.851428,-31.353616,45.674098,0.000000
59,721,194623.956027,0.000000,161461.323764,194623.956027,33162.632263,20.539056,-17.039337,0.000000
60,722,570189.325094,0.000000,688114.444315,570189.325094,-117925.119221,-17.137428,20.681748,0.000000
61,81,565525.274008,3303.690656,691694.255820,565525.274008,-126168.981812,-18.240571,22.310052,0.000000
