sample_track,model_id,target_id,horizon,observation_count,mean_crps
abm_balanced_h12_common_cells,beforeit_abm_us_v1_mean,real_gdp,1,50,2.594482944914029
abm_balanced_h12_common_cells,beforeit_abm_us_v1_mean,gdp_deflator,8,50,1.1034948667073792
abm_balanced_h12_common_cells,beforeit_abm_us_v1_mean,gdp_deflator,12,50,1.124588258671661
abm_balanced_h12_common_cells,beforeit_abm_us_v1_mean,unemployment_rate,4,50,1.2956703015699174
abm_balanced_h12_common_cells,beforeit_abm_us_v1_mean,unemployment_rate,2,50,1.4652832289156361
abm_balanced_h12_common_cells,beforeit_abm_us_v1_mean,nominal_gdp,1,50,2.9381910067733368
abm_balanced_h12_common_cells,beforeit_abm_us_v1_mean,effective_federal_funds_rate,4,50,0.6795591335336306
abm_balanced_h12_common_cells,beforeit_abm_us_v1_mean,gdp_deflator,1,50,0.845346248028115
abm_balanced_h12_common_cells,beforeit_abm_us_v1_mean,nominal_gdp,12,50,3.6473251503176893
abm_balanced_h12_common_cells,beforeit_abm_us_v1_mean,real_gdp,8,50,2.9599279395833524
abm_balanced_h12_common_cells,beforeit_abm_us_v1_mean,real_gdp,12,50,2.9134125847432277
abm_balanced_h12_common_cells,beforeit_abm_us_v1_mean,unemployment_rate,12,50,1.0142890675429086
abm_balanced_h12_common_cells,beforeit_abm_us_v1_mean,nominal_gdp,4,50,3.857515003598237
abm_balanced_h12_common_cells,beforeit_abm_us_v1_mean,real_gdp,2,50,6.99857835777126
abm_pandemic_masked_common_cells,beforeit_abm_us_v1_mean,effective_federal_funds_rate,2,52,0.33224314486070905
abm_pandemic_masked_common_cells,beforeit_abm_us_v1_mean,effective_federal_funds_rate,8,46,1.1401333673146727
abm_pandemic_masked_common_cells,beforeit_abm_us_v1_mean,nominal_gdp,8,46,1.7996209524387623
abm_pandemic_masked_common_cells,beforeit_abm_us_v1_mean,effective_federal_funds_rate,12,42,1.542052878417562
abm_pandemic_masked_common_cells,beforeit_abm_us_v1_mean,gdp_deflator,2,52,0.6550365998255548
abm_pandemic_masked_common_cells,beforeit_abm_us_v1_mean,real_gdp,4,50,1.9854344822797572
abm_pandemic_masked_common_cells,beforeit_abm_us_v1_mean,unemployment_rate,8,46,1.038427217169075
abm_pandemic_masked_common_cells,beforeit_abm_us_v1_mean,unemployment_rate,1,53,1.716548856144968
abm_pandemic_masked_common_cells,beforeit_abm_us_v1_mean,nominal_gdp,2,52,5.747100425129217
abm_pandemic_masked_common_cells,beforeit_abm_us_v1_mean,effective_federal_funds_rate,1,53,0.17117261313511858
abm_pandemic_masked_common_cells,beforeit_abm_us_v1_mean,gdp_deflator,4,50,0.7558724516221957
abm_pandemic_masked_common_cells,beforeit_abm_us_v1_mean,real_gdp,1,53,1.2712046853521617
abm_pandemic_masked_common_cells,beforeit_abm_us_v1_mean,gdp_deflator,8,46,0.821879127207496
abm_pandemic_masked_common_cells,beforeit_abm_us_v1_mean,gdp_deflator,12,42,0.8745961427032087
abm_pandemic_masked_common_cells,beforeit_abm_us_v1_mean,unemployment_rate,4,50,1.1129371610076775
abm_pandemic_masked_common_cells,beforeit_abm_us_v1_mean,unemployment_rate,2,52,1.17280056589995
abm_pandemic_masked_common_cells,beforeit_abm_us_v1_mean,nominal_gdp,1,53,1.3341969216346645
abm_pandemic_masked_common_cells,beforeit_abm_us_v1_mean,effective_federal_funds_rate,4,50,0.6289395120340392
abm_pandemic_masked_common_cells,beforeit_abm_us_v1_mean,gdp_deflator,1,53,0.6389311039998555
abm_pandemic_masked_common_cells,beforeit_abm_us_v1_mean,nominal_gdp,12,42,1.8386619906603028
abm_pandemic_masked_common_cells,beforeit_abm_us_v1_mean,real_gdp,8,46,1.543718213811974
abm_pandemic_masked_common_cells,beforeit_abm_us_v1_mean,real_gdp,12,42,1.4784144013770988
abm_pandemic_masked_common_cells,beforeit_abm_us_v1_mean,unemployment_rate,12,42,0.8416422556025113
abm_pandemic_masked_common_cells,beforeit_abm_us_v1_mean,nominal_gdp,4,50,2.0854046112696327
abm_pandemic_masked_common_cells,beforeit_abm_us_v1_mean,real_gdp,2,52,5.816379255558563
abm_all_available_common_cells,dsge_small_nk,effective_federal_funds_rate,2,60,0.40478664759941746
abm_all_available_common_cells,dsge_small_nk,effective_federal_funds_rate,8,54,0.7866931675383578
abm_all_available_common_cells,dsge_small_nk,nominal_gdp,8,54,4.068632747139789
abm_all_available_common_cells,dsge_small_nk,effective_federal_funds_rate,12,50,1.0331384216111164
abm_all_available_common_cells,dsge_small_nk,real_gdp,4,58,3.0831991622882926
abm_all_available_common_cells,dsge_small_nk,gdp_deflator,2,60,0.8672181067482795
abm_all_available_common_cells,dsge_small_nk,unemployment_rate,8,54,2.853464834851172
abm_all_available_common_cells,dsge_small_nk,unemployment_rate,1,61,0.5691215230827802
abm_all_available_common_cells,dsge_small_nk,nominal_gdp,2,60,3.540346777833554
abm_all_available_common_cells,dsge_small_nk,gdp_deflator,4,58,1.0534965181910463
abm_all_available_common_cells,dsge_small_nk,effective_federal_funds_rate,1,61,0.2530949445414563
abm_all_available_common_cells,dsge_small_nk,real_gdp,1,61,3.1047403442850268
abm_all_available_common_cells,dsge_small_nk,gdp_deflator,8,54,1.2258965937876354
abm_all_available_common_cells,dsge_small_nk,gdp_deflator,12,50,1.3141271377151407
abm_all_available_common_cells,dsge_small_nk,unemployment_rate,4,58,1.703315476538718
abm_all_available_common_cells,dsge_small_nk,unemployment_rate,2,60,0.988066286529839
abm_all_available_common_cells,dsge_small_nk,nominal_gdp,1,61,3.4741918523733877
abm_all_available_common_cells,dsge_small_nk,gdp_deflator,1,61,0.7802817167623298
abm_all_available_common_cells,dsge_small_nk,real_gdp,8,54,3.143223004821743
abm_all_available_common_cells,dsge_small_nk,nominal_gdp,12,50,4.297445758389233
abm_all_available_common_cells,dsge_small_nk,unemployment_rate,12,50,3.892435984850234
abm_all_available_common_cells,dsge_small_nk,real_gdp,12,50,3.2794749510113173
abm_all_available_common_cells,dsge_small_nk,effective_federal_funds_rate,4,58,0.5649973478983493
