sample_track,target_set,model_id,benchmark_model_id,status,cell_count,expected_cell_count,weighted_rmse_ratio,weighted_mae_ratio
abm_all_available_common_cells,labour_unemployment_rate,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,beforeit_var_p1_constant,COMPLETE_MATCHED,5,5,1.3107128548792897,1.3045108319581327
abm_all_available_common_cells,labour_unemployment_rate,beforeit_var_p1_constant,beforeit_var_p1_constant,COMPLETE_MATCHED,5,5,1.0,1.0
abm_all_available_common_cells,labour_unemployment_rate,beforeit_var_p2_constant,beforeit_var_p1_constant,COMPLETE_MATCHED,5,5,1.0559999120646006,1.1656924977067702
abm_all_available_common_cells,labour_unemployment_rate,beforeit_var_p3_constant,beforeit_var_p1_constant,COMPLETE_MATCHED,5,5,3.6115421506172236,2.235505000255414
abm_all_available_common_cells,labour_unemployment_rate,bvar_mniw_v1_p1_constant_tight3fc999999999999a_decay3ff0000000000000_own0000000000000000_ivar4059000000000000_iwoff2_iscale3ff0000000000000_floor3e45798ee2308c3a_diffmse_scale,beforeit_var_p1_constant,COMPLETE_MATCHED,5,5,0.7105766645150825,0.9193478261026211
abm_all_available_common_cells,labour_unemployment_rate,beforeit_abm_us_v3_mean,beforeit_var_p1_constant,COMPLETE_MATCHED,5,5,0.9524103653836707,2.5432548936794785
abm_all_available_common_cells,labour_unemployment_rate,beforeit_abm_us_v3_median,beforeit_var_p1_constant,COMPLETE_MATCHED,5,5,0.9816846740861851,2.611822541656111
abm_all_available_common_cells,labour_unemployment_rate,beforeit_abm_us_v2_mean,beforeit_var_p1_constant,COMPLETE_MATCHED,5,5,1.2852677601583187,2.8050557993196716
abm_all_available_common_cells,labour_unemployment_rate,beforeit_abm_us_v2_median,beforeit_var_p1_constant,COMPLETE_MATCHED,5,5,1.2921877276764715,2.732343681407079
abm_all_available_common_cells,labour_unemployment_rate,beforeit_abm_us_v1_mean,beforeit_var_p1_constant,COMPLETE_MATCHED,5,5,0.843517630081027,1.8513693777455407
abm_all_available_common_cells,labour_unemployment_rate,beforeit_abm_us_v1_median,beforeit_var_p1_constant,COMPLETE_MATCHED,5,5,0.8354823436232324,1.8158359498112138
abm_all_available_common_cells,labour_unemployment_rate,dsge_small_nk,beforeit_var_p1_constant,COMPLETE_MATCHED,5,5,0.9648507341842825,1.6209534362149256
abm_all_available_common_cells,labour_unemployment_rate,dsge_small_nk_median,beforeit_var_p1_constant,COMPLETE_MATCHED,5,5,0.9630569066676641,1.621852369119562
