sample_track,model_id,benchmark_model_id,target_id,horizon,observation_count,rmse,mae,rmse_ratio,mae_ratio
abm_all_available_common_cells,naive_historical_mean,beforeit_var_p1_constant,gdp_deflator,4,58,1.9463700609956636,1.2284690968798502,0.825112274985465,0.7919357902509084
abm_all_available_common_cells,naive_historical_mean,beforeit_var_p1_constant,gdp_deflator,8,54,2.024805556430599,1.2875543780654577,0.9683132304748093,0.8545589876708592
abm_all_available_common_cells,naive_historical_mean,beforeit_var_p1_constant,gdp_deflator,12,50,2.102217006254978,1.3756975982221435,0.8887051919799389,0.8377741561690677
abm_all_available_common_cells,naive_historical_mean,beforeit_var_p1_constant,nominal_gdp,1,61,6.8855677636856605,3.168732019871121,0.6605170020588047,0.7752172375015729
abm_all_available_common_cells,naive_historical_mean,beforeit_var_p1_constant,nominal_gdp,2,60,6.92672527991079,3.2227396760797267,0.7945592243822066,0.7739995304901565
abm_all_available_common_cells,naive_historical_mean,beforeit_var_p1_constant,nominal_gdp,4,58,7.041749266663669,3.2855634145780783,0.9534459758793445,0.8711827671377738
abm_all_available_common_cells,naive_historical_mean,beforeit_var_p1_constant,nominal_gdp,8,54,7.2875376542934145,3.44252364014375,0.8339247948750227,0.7844432592939611
abm_all_available_common_cells,naive_historical_mean,beforeit_var_p1_constant,nominal_gdp,12,50,7.556283118822995,3.6412053908690405,0.9755690925825368,0.9224771595505256
abm_all_available_common_cells,naive_historical_mean,beforeit_var_p1_constant,unemployment_rate,1,61,2.1190346203961465,1.848017654176237,1.0076598551086537,3.127683144019158
abm_all_available_common_cells,naive_historical_mean,beforeit_var_p1_constant,unemployment_rate,2,60,2.1112362813786274,1.8453934562530494,0.6381789265078429,1.9617917764571309
abm_all_available_common_cells,naive_historical_mean,beforeit_var_p1_constant,unemployment_rate,4,58,2.0953820579328815,1.8398879166371922,0.5027830046304372,1.2903522885107328
abm_all_available_common_cells,naive_historical_mean,beforeit_var_p1_constant,unemployment_rate,8,54,2.0862804661223806,1.8291929788276944,0.9306314364188238,1.2359758970275063
abm_all_available_common_cells,naive_historical_mean,beforeit_var_p1_constant,unemployment_rate,12,50,2.120926238088534,1.850442225941519,0.5440764740095921,0.8923014061525673
abm_all_available_common_cells,naive_historical_mean,beforeit_var_p1_constant,effective_federal_funds_rate,1,61,1.9875071439387675,1.756372959541968,2.9941562789861433,4.708044728335409
abm_all_available_common_cells,naive_historical_mean,beforeit_var_p1_constant,effective_federal_funds_rate,2,60,2.0069841610660784,1.7703279589100864,1.6119082346904057,2.611094329959407
abm_all_available_common_cells,naive_historical_mean,beforeit_var_p1_constant,effective_federal_funds_rate,4,58,2.0424831426792314,1.7944233161293832,0.985587233664076,1.5076994402515556
abm_all_available_common_cells,naive_historical_mean,beforeit_var_p1_constant,effective_federal_funds_rate,8,54,2.084553115932132,1.8187622908354797,0.8761066896545281,1.0448150170449977
abm_all_available_common_cells,naive_historical_mean,beforeit_var_p1_constant,effective_federal_funds_rate,12,50,2.098930903163602,1.8216411398679702,0.7807315338229672,0.8695827720750954
abm_all_available_common_cells,univariate_ar_p1_constant,beforeit_var_p1_constant,real_gdp,1,61,9.04664670024397,3.297864119656172,0.9953887965489984,0.9050641170917393
abm_all_available_common_cells,univariate_ar_p1_constant,beforeit_var_p1_constant,real_gdp,2,60,7.371783480774824,3.0576247452102137,1.0029631563915415,0.8826818384743568
abm_all_available_common_cells,univariate_ar_p1_constant,beforeit_var_p1_constant,real_gdp,4,58,7.186585500067501,3.044728562147678,1.1313203144526174,1.0384418337590648
abm_all_available_common_cells,univariate_ar_p1_constant,beforeit_var_p1_constant,real_gdp,8,54,6.714934650945641,2.9682740461143,0.8546321053019413,0.8639797670907204
abm_all_available_common_cells,univariate_ar_p1_constant,beforeit_var_p1_constant,real_gdp,12,50,6.865110779820829,3.069025939172327,1.0200716596188604,1.0461276874723162
abm_all_available_common_cells,univariate_ar_p1_constant,beforeit_var_p1_constant,gdp_deflator,1,61,1.4256884513530748,1.0889303830025845,0.7920992182467884,0.9170091738134971
abm_all_available_common_cells,univariate_ar_p1_constant,beforeit_var_p1_constant,gdp_deflator,2,60,1.6515783827672563,1.0960483601632065,0.7726933563479312,0.770254762985247
abm_all_available_common_cells,univariate_ar_p1_constant,beforeit_var_p1_constant,gdp_deflator,4,58,1.9408321806583608,1.2430348913064295,0.82276463661223,0.8013256674152126
abm_all_available_common_cells,univariate_ar_p1_constant,beforeit_var_p1_constant,gdp_deflator,8,54,2.031877284482296,1.3000623983992636,0.9716951096942882,0.8628606496249615
