model_id,origin_index,origin_period,target_period,target_id,horizon,point_forecast,actual,error,absolute_error,squared_error,mase_scale,scaled_absolute_error
naive_no_change,40,2010Q2,2012Q2,nominal_gdp,8,5.798304328251,3.428211412522,2.370092915729,2.370092915729,5.617340429188792,2.263785620308205,1.046959965849735
naive_no_change,40,2010Q2,2013Q2,real_gdp,12,3.851739929044,1.069115306055,2.782624622989,2.782624622989,7.742999792464675,2.3058043705556153,1.2067912865992567
naive_no_change,40,2010Q2,2013Q2,gdp_deflator,12,1.949507239798,0.860539016401,1.088968223397,1.088968223397,1.1858517915684184,0.6273130483301025,1.7359247130213795
naive_no_change,40,2010Q2,2013Q2,unemployment_rate,12,9.633333333333,7.533333333333,2.1000000000000005,2.1000000000000005,4.410000000000002,0.25726495726494863,8.162790697674694
naive_no_change,40,2010Q2,2013Q2,effective_federal_funds_rate,12,0.191875,0.11703125,0.07484374999999999,0.07484374999999999,0.005601586914062498,0.38536719357192306,0.19421411902316357
naive_no_change,40,2010Q2,2013Q2,nominal_gdp,12,5.798304328251,1.929435363067,3.8688689651839994,3.8688689651839994,14.96814706976391,2.263785620308205,1.709026212763587
naive_drift,40,2010Q2,2010Q3,real_gdp,1,3.940053191801872,3.072509082001,0.867544109800872,0.867544109800872,0.7526327824501875,2.3058043705556153,0.3762435880854131
naive_drift,40,2010Q2,2010Q3,gdp_deflator,1,1.939703450208872,1.214191787935,0.725511662273872,0.725511662273872,0.5263671720953969,0.6273130483301025,1.15653845269945
naive_drift,40,2010Q2,2010Q3,unemployment_rate,1,9.777777777777436,9.466666666667,0.311111111110435,0.311111111110435,0.09679012345636942,0.25726495726494863,1.2093023255788078
naive_drift,40,2010Q2,2010Q3,effective_federal_funds_rate,1,0.029835164835153832,0.1884375,-0.15860233516484618,0.15860233516484618,0.025154700719742202,0.38536719357192306,0.4115615906345837
naive_drift,40,2010Q2,2010Q3,nominal_gdp,1,5.87671528693423,4.287009277517,1.5897060094172302,1.5897060094172302,2.5271651963772546,2.263785620308205,0.7022334602517698
naive_drift,40,2010Q2,2010Q4,real_gdp,2,4.028366454559744,2.094945457781,1.933420996778744,1.933420996778744,3.738116750784912,2.3058043705556153,0.8385017486599956
