table_id,year,row_code,row_type,column_code,column_type,value
59,2024,213,Commodity,3361MV,Commodity,0.0007037
59,2024,213,Commodity,3364OT,Commodity,0.0003004
59,2024,213,Commodity,337,Commodity,0.0007021
59,2024,213,Commodity,339,Commodity,0.000593
59,2024,213,Commodity,42,Commodity,0.0002582
59,2024,213,Commodity,441,Commodity,0.0002894
59,2024,213,Commodity,445,Commodity,0.0003789
59,2024,213,Commodity,452,Commodity,0.0002
59,2024,213,Commodity,481,Commodity,0.0032767
59,2024,213,Commodity,482,Commodity,0.0012713
59,2024,213,Commodity,483,Commodity,0.0026619
59,2024,213,Commodity,484,Commodity,0.0021432
59,2024,213,Commodity,485,Commodity,0.0012398
59,2024,213,Commodity,486,Commodity,0.0004294
59,2024,213,Commodity,487OS,Commodity,0.0014074
59,2024,213,Commodity,493,Commodity,0.000761
59,2024,213,Commodity,4A0,Commodity,0.0002446
59,2024,213,Commodity,511,Commodity,0.000163
59,2024,213,Commodity,512,Commodity,0.0001464
59,2024,213,Commodity,513,Commodity,0.0002147
59,2024,213,Commodity,514,Commodity,0.0002522
59,2024,213,Commodity,521CI,Commodity,0.0002233
59,2024,213,Commodity,523,Commodity,0.0003812
59,2024,213,Commodity,524,Commodity,8.18e-5
59,2024,213,Commodity,525,Commodity,0.000354
59,2024,213,Commodity,532RL,Commodity,0.000311
59,2024,213,Commodity,5411,Commodity,8.72e-5
59,2024,213,Commodity,5412OP,Commodity,0.0002767
59,2024,213,Commodity,5415,Commodity,0.0001651
59,2024,213,Commodity,55,Commodity,0.0001934
59,2024,213,Commodity,561,Commodity,0.0003755
59,2024,213,Commodity,562,Commodity,0.0008888
59,2024,213,Commodity,61,Commodity,0.00081
59,2024,213,Commodity,621,Commodity,0.0003578
59,2024,213,Commodity,622,Commodity,0.0005398
59,2024,213,Commodity,623,Commodity,0.0003323
59,2024,213,Commodity,624,Commodity,0.0003251
59,2024,213,Commodity,711AS,Commodity,0.0002802
59,2024,213,Commodity,713,Commodity,0.0011212
59,2024,213,Commodity,721,Commodity,0.0003186
59,2024,213,Commodity,722,Commodity,0.0003969
59,2024,213,Commodity,81,Commodity,0.000337
59,2024,213,Commodity,GFE,Commodity,0.0008974
59,2024,213,Commodity,GFGD,Commodity,0.000615
59,2024,213,Commodity,GFGN,Commodity,0.000346
59,2024,213,Commodity,GSLE,Commodity,0.0040187
59,2024,213,Commodity,GSLG,Commodity,0.0013886
59,2024,213,Commodity,HS,Commodity,6.58e-5
59,2024,213,Commodity,ORE,Commodity,0.0005137
59,2024,213,Commodity,Other,Commodity,0.000346
59,2024,213,Commodity,Used,Commodity,0.0011668
59,2024,22,Commodity,111CA,Commodity,0.0376449
59,2024,22,Commodity,113FF,Commodity,0.0069971
59,2024,22,Commodity,211,Commodity,0.0287657
59,2024,22,Commodity,212,Commodity,0.0447578
59,2024,22,Commodity,213,Commodity,0.007643
59,2024,22,Commodity,22,Commodity,1.0522881
59,2024,22,Commodity,23,Commodity,0.0162947
59,2024,22,Commodity,311FT,Commodity,0.0297473
59,2024,22,Commodity,313TT,Commodity,0.0331912
59,2024,22,Commodity,315AL,Commodity,0.0185857
59,2024,22,Commodity,321,Commodity,0.0262768
59,2024,22,Commodity,322,Commodity,0.0521035
59,2024,22,Commodity,323,Commodity,0.0292685
