month,series_id,published_value,latest,footnote_codes
2013-03,CES0000000001,135689,false,none
2013-03,LNS14000000,7.5,false,none
2013-04,CES0000000001,135873,false,none
2013-04,LNS14000000,7.6,false,none
2013-05,CES0000000001,136096,false,none
2013-05,LNS14000000,7.5,false,none
2013-06,CES0000000001,136279,false,none
2013-06,LNS14000000,7.5,false,none
2013-07,CES0000000001,136391,false,none
2013-07,LNS14000000,7.3,false,none
2013-08,CES0000000001,136646,false,none
2013-08,LNS14000000,7.2,false,none
2013-09,CES0000000001,136821,false,none
2013-09,LNS14000000,7.2,false,none
2013-10,CES0000000001,137041,false,none
2013-10,LNS14000000,7.2,false,none
2013-11,CES0000000001,137317,false,none
2013-11,LNS14000000,6.9,false,none
2013-12,CES0000000001,137372,false,none
2013-12,LNS14000000,6.7,false,none
2014-01,CES0000000001,137561,false,none
2014-01,LNS14000000,6.6,false,none
2014-02,CES0000000001,137712,false,none
2014-02,LNS14000000,6.7,false,none
2014-03,CES0000000001,137985,false,none
2014-03,LNS14000000,6.7,false,none
2014-04,CES0000000001,138298,false,none
2014-04,LNS14000000,6.2,false,none
2014-05,CES0000000001,138513,false,none
2014-05,LNS14000000,6.3,false,none
2014-06,CES0000000001,138849,false,none
2014-06,LNS14000000,6.1,false,none
2014-07,CES0000000001,139072,false,none
2014-07,LNS14000000,6.2,false,none
2014-08,CES0000000001,139269,false,none
2014-08,LNS14000000,6.1,false,none
2014-09,CES0000000001,139563,false,none
2014-09,LNS14000000,5.9,false,none
2014-10,CES0000000001,139798,false,none
2014-10,LNS14000000,5.7,false,none
2014-11,CES0000000001,140089,false,none
2014-11,LNS14000000,5.8,false,none
2014-12,CES0000000001,140364,false,none
2014-12,LNS14000000,5.6,false,none
2015-01,CES0000000001,140568,false,none
2015-01,LNS14000000,5.7,false,none
2015-02,CES0000000001,140827,false,none
2015-02,LNS14000000,5.5,false,none
2015-03,CES0000000001,140923,false,none
2015-03,LNS14000000,5.4,false,none
2015-04,CES0000000001,141196,false,none
2015-04,LNS14000000,5.4,false,none
2015-05,CES0000000001,141538,false,none
2015-05,LNS14000000,5.6,false,none
2015-06,CES0000000001,141709,false,none
2015-06,LNS14000000,5.3,false,none
2015-07,CES0000000001,141991,false,none
2015-07,LNS14000000,5.2,false,none
2015-08,CES0000000001,142125,false,none
2015-08,LNS14000000,5.1,false,none
2015-09,CES0000000001,142275,false,none
2015-09,LNS14000000,5.0,false,none
2015-10,CES0000000001,142579,false,none
2015-10,LNS14000000,5.0,false,none
2015-11,CES0000000001,142808,false,none
2015-11,LNS14000000,5.1,false,none
2015-12,CES0000000001,143077,false,none
2015-12,LNS14000000,5.0,false,none
2016-01,CES0000000001,143210,false,none
2016-01,LNS14000000,4.8,false,none
2016-02,CES0000000001,143406,false,none
2016-02,LNS14000000,4.9,false,none
2016-03,CES0000000001,143662,false,none
2016-03,LNS14000000,5.0,false,none
2016-04,CES0000000001,143854,false,none
2016-04,LNS14000000,5.1,false,none
2016-05,CES0000000001,143900,false,none
2016-05,LNS14000000,4.8,false,none
2016-06,CES0000000001,144147,false,none
2016-06,LNS14000000,4.9,false,none
2016-07,CES0000000001,144520,false,none
2016-07,LNS14000000,4.8,false,none
2016-08,CES0000000001,144661,false,none
2016-08,LNS14000000,4.9,false,none
2016-09,CES0000000001,144967,false,none
2016-09,LNS14000000,5.0,false,none
2016-10,CES0000000001,145065,false,none
2016-10,LNS14000000,4.9,false,none
2016-11,CES0000000001,145183,false,none
2016-11,LNS14000000,4.7,false,none
2016-12,CES0000000001,145408,false,none
2016-12,LNS14000000,4.7,false,none
2017-01,CES0000000001,145628,false,none
2017-01,LNS14000000,4.7,false,none
2017-02,CES0000000001,145846,false,none
2017-02,LNS14000000,4.6,false,none
2017-03,CES0000000001,145970,false,none
2017-03,LNS14000000,4.4,false,none
2017-04,CES0000000001,146175,false,none
2017-04,LNS14000000,4.4,false,none
2017-05,CES0000000001,146380,false,none
2017-05,LNS14000000,4.4,false,none
2017-06,CES0000000001,146583,false,none
2017-06,LNS14000000,4.3,false,none
2017-07,CES0000000001,146772,false,none
2017-07,LNS14000000,4.3,false,none
2017-08,CES0000000001,146919,false,none
2017-08,LNS14000000,4.4,false,none
2017-09,CES0000000001,147008,false,none
2017-09,LNS14000000,4.3,false,none
2017-10,CES0000000001,147149,false,none
2017-10,LNS14000000,4.2,false,none
2017-11,CES0000000001,147372,false,none
2017-11,LNS14000000,4.2,false,none
2017-12,CES0000000001,147523,false,none
2017-12,LNS14000000,4.1,false,none
2018-01,CES0000000001,147660,false,none
2018-01,LNS14000000,4.0,false,none
2018-02,CES0000000001,148054,false,none
2018-02,LNS14000000,4.1,false,none
2018-03,CES0000000001,148280,false,none
2018-03,LNS14000000,4.0,false,none
2018-04,CES0000000001,148420,false,none
2018-04,LNS14000000,4.0,false,none
2018-05,CES0000000001,148742,false,none
2018-05,LNS14000000,3.8,false,none
2018-06,CES0000000001,148960,false,none
2018-06,LNS14000000,4.0,false,none
2018-07,CES0000000001,149020,false,none
2018-07,LNS14000000,3.8,false,none
2018-08,CES0000000001,149277,false,none
2018-08,LNS14000000,3.8,false,none
2018-09,CES0000000001,149358,false,none
2018-09,LNS14000000,3.7,false,none
2018-10,CES0000000001,149527,false,none
2018-10,LNS14000000,3.8,false,none
2018-11,CES0000000001,149617,false,none
2018-11,LNS14000000,3.8,false,none
2018-12,CES0000000001,149809,false,none
2018-12,LNS14000000,3.9,false,none
2019-01,CES0000000001,150060,false,none
2019-01,LNS14000000,4.0,false,none
2019-02,CES0000000001,150067,false,none
2019-02,LNS14000000,3.8,false,none
