variant,origin,path,quarter,utilization,capacity_index,book_capital,unemployment_rate,annualized_real_growth
headline_v3,2016Q4,1,18,0.8972628462981115,1.0318350763799362e7,5.674878222366238e7,0.0,3.3314074607524446
headline_v3,2016Q4,1,19,0.8941921360276532,1.0358769367196243e7,5.6748845410813116e7,0.0,0.23983905439948217
headline_v3,2016Q4,1,20,0.8982580401234868,1.0399461815870158e7,5.674955099812764e7,0.0,3.3889940614287184
headline_v3,2016Q4,1,21,0.8995090909227165,1.0440431167765707e7,5.675070965851247e7,0.0,2.1129691908832626
headline_v3,2016Q4,1,22,0.900890202694952,1.0481756175619192e7,5.675283064622082e7,0.0,2.10090885779195
headline_v3,2016Q4,1,23,0.9015893682202084,1.0523217269297611e7,5.675408059103445e7,0.0,1.9180558746342058
headline_v3,2016Q4,1,24,0.9041019396912667,1.0566007382714912e7,5.675995866702497e7,0.0,2.7352243768781648
headline_v3,2016Q4,2,0,0.8499999999999999,9.617279568509158e6,5.674821633600001e7,3.723986856516977,NaN
headline_v3,2016Q4,2,1,0.8523295373542217,9.654942544890992e6,5.674821633600001e7,3.723986856516977,2.6541440899251256
headline_v3,2016Q4,2,2,0.8522954437506469,9.692753016183402e6,5.674821633600001e7,3.723986856516977,1.591864742673721
headline_v3,2016Q4,2,3,0.8508881105529119,9.73071156000268e6,5.674821633600001e7,3.833515881708653,0.8406297397506535
headline_v3,2016Q4,2,4,0.8609345960755103,9.768818756227158e6,5.674821633600001e7,3.2311062431544357,6.32151611125451
headline_v3,2016Q4,2,5,0.8619720018978828,9.807075187006079e6,5.674821633600001e7,3.176341730558598,1.909129379345842
headline_v3,2016Q4,2,6,0.859037411501334,9.845481436768487e6,5.674821633600001e7,3.6144578313253013,0.15643459284575556
headline_v3,2016Q4,2,7,0.8636619345296426,9.88403809223216e6,5.674821633600001e7,3.0120481927710845,3.6210909387939694
