sample_track,target_set,challenger,comparator,observation_count,mean_differential,adjusted_p_value,rejected_at_5pct
abm_balanced_h12_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,beforeit_abm_us_v3_mean,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,50,-17.77734642246581,0.0508,false
abm_balanced_h12_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,beforeit_abm_us_v3_mean,univariate_ar_p1_constant,50,-17.85419844139842,0.0508,false
abm_balanced_h12_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,beforeit_abm_us_v3_mean,univariate_ar_p4_constant,50,-21.705452102303575,0.0508,false
abm_balanced_h12_common_cells,labour_unemployment_rate,beforeit_abm_us_v3_mean,beforeit_var_p1_constant,50,-2.3998276743414158,0.5264,false
abm_balanced_h12_common_cells,labour_unemployment_rate,beforeit_abm_us_v3_mean,beforeit_var_p2_constant,50,-4.3675635677311595,0.498,false
abm_balanced_h12_common_cells,labour_unemployment_rate,beforeit_abm_us_v3_mean,beforeit_var_p3_constant,50,-520.1035723258996,0.2974,false
abm_balanced_h12_common_cells,labour_unemployment_rate,beforeit_abm_us_v3_mean,bvar_mniw_v1_p1_constant_tight3fc999999999999a_decay3ff0000000000000_own0000000000000000_ivar4059000000000000_iwoff2_iscale3ff0000000000000_floor3e45798ee2308c3a_diffmse_scale,50,4.029051517148903,0.9132,false
abm_balanced_h12_common_cells,labour_unemployment_rate,beforeit_abm_us_v3_mean,dsge_small_nk,50,-2.1511976281892826,0.4968,false
abm_balanced_h12_common_cells,labour_unemployment_rate,beforeit_abm_us_v3_mean,dsge_small_nk_median,50,-2.115147036450164,0.498,false
abm_balanced_h12_common_cells,labour_unemployment_rate,beforeit_abm_us_v3_mean,dsge_sw07,50,3.6425962403523187,0.8866,false
abm_balanced_h12_common_cells,labour_unemployment_rate,beforeit_abm_us_v3_mean,dsge_sw07_median,50,3.656235371200704,0.8872,false
abm_balanced_h12_common_cells,labour_unemployment_rate,beforeit_abm_us_v3_mean,naive_drift,50,3.8962600496762474,0.9342,false
abm_balanced_h12_common_cells,labour_unemployment_rate,beforeit_abm_us_v3_mean,naive_historical_mean,50,4.236630589299901,0.956,false
abm_balanced_h12_common_cells,labour_unemployment_rate,beforeit_abm_us_v3_mean,naive_no_change,50,4.639788999633236,0.9444,false
abm_balanced_h12_common_cells,labour_unemployment_rate,beforeit_abm_us_v3_mean,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,50,-11.305865022796276,0.4322,false
