DATAFLOW,FREQ,REF_AREA,TRANSACTION,ACTIVITY,PRODUCT,UNIT_MEASURE,VALUATION,PRICE_BASE,TABLE_IDENTIFIER,TIME_PERIOD,OBS_VALUE,COUNTERPART_AREA,SECTOR,ACCOUNTING_ENTRY,CONF_STATUS,DECIMALS,OBS_STATUS,UNIT_MULT,CURRENCY
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,Q87_88,_T,XDC,O,V,T1600,2024,262501.89,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,Q86,_T,XDC,O,V,T1600,2024,1116308.74,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,K,CPA08_A,XDC,O,V,T1600,2024,0.2,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,J62,CPA08_A,XDC,O,V,T1600,2024,0.26,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,A02,CPA08_A,XDC,O,V,T1600,2024,9447.27,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,A01,CPA08_A,XDC,O,V,T1600,2024,176565.58,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,A,CPA08_A,XDC,O,V,T1600,2024,186012.85,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,_T,CPA08_A,XDC,O,V,T1600,2024,663229.59,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,C13,CPA08_A,XDC,O,V,T1600,2024,1081.53,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,C13T15,CPA08_A,XDC,O,V,T1600,2024,1199.5,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,C12,CPA08_A,XDC,O,V,T1600,2024,1931.94,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,C11,CPA08_A,XDC,O,V,T1600,2024,6392.4,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,C10,CPA08_A,XDC,O,V,T1600,2024,377588.73,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,C10T12,CPA08_A,XDC,O,V,T1600,2024,385913.07,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,C,CPA08_A,XDC,O,V,T1600,2024,435550.51,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,B09,CPA08_A,XDC,O,V,T1600,2024,18.23,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,B08,CPA08_A,XDC,O,V,T1600,2024,15.91,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,B07,CPA08_A,XDC,O,V,T1600,2024,15.64,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,B05,CPA08_A,XDC,O,V,T1600,2024,145.3,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,B,CPA08_A,XDC,O,V,T1600,2024,195.08,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,J62_63,CPA08_A,XDC,O,V,T1600,2024,0.26,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,J,CPA08_A,XDC,O,V,T1600,2024,0.26,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,I56,CPA08_A,XDC,O,V,T1600,2024,15828.64,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,I55,CPA08_A,XDC,O,V,T1600,2024,436.92,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,I,CPA08_A,XDC,O,V,T1600,2024,16265.57,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,H50,CPA08_A,XDC,O,V,T1600,2024,54.75,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,H49,CPA08_A,XDC,O,V,T1600,2024,8.88,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,H,CPA08_A,XDC,O,V,T1600,2024,63.63,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,G47,CPA08_A,XDC,O,V,T1600,2024,2135.05,D,S1,D,F,2,A,6,USD
