model_stage,metric,sample,observations,mape_pct,max_ape_pct,mae,rmse,error_unit,target_met
calibrated,real_exports,all_forecasts,9,1.1082779702222392,2.1658097702618546,7481.551737922709,8633.301395232551,million chained 2017 USD per quarter,true
calibrated,real_imports,all_forecasts,9,3.117518001606102,9.593034729128604,29675.341835579562,41467.30598930086,million chained 2017 USD per quarter,true
calibrated,wages,all_forecasts,9,0.38283123873419617,0.6927084073237622,12410.58705313452,13954.172968314324,million current USD per quarter,true
calibrated,gdp_deflator,all_forecasts,9,0.2838200402612063,0.8203105580640038,0.003697790416678738,0.004814022576076475,nominal GDP / real GDP ratio,true
calibrated,annual_policy_rate,all_forecasts,9,4.295667617394838,5.62497977903745,0.19144232720053295,0.20617919516423763,percentage points,true
calibrated,real_gdp,coefficient_fitting,7,0.3968645514852589,0.7626219761961339,23530.593128002383,26076.472369043862,million chained 2017 USD per quarter,true
calibrated,real_household_consumption,coefficient_fitting,7,0.25771659285845466,0.5660152889535279,10525.196368342333,11945.279935379787,million chained 2017 USD per quarter,true
calibrated,real_government_consumption,coefficient_fitting,7,0.7265710929632478,1.7222955650006886,7210.917586615309,8596.119903610577,million chained 2017 USD per quarter,true
calibrated,real_fixed_capitalformation,coefficient_fitting,7,0.5021270385940128,1.1758267552910653,5427.057973207639,6973.2775345424125,million chained 2017 USD per quarter,true
calibrated,real_exports,coefficient_fitting,7,1.0181610067415021,1.8662530493828655,6808.032784766235,7795.648161725107,million chained 2017 USD per quarter,true
calibrated,real_imports,coefficient_fitting,7,3.310592305956613,9.593034729128604,31510.43674565968,45346.70090997286,million chained 2017 USD per quarter,true
calibrated,wages,coefficient_fitting,7,0.3786316122094788,0.6927084073237622,12180.316365860801,14117.112895403434,million current USD per quarter,true
calibrated,gdp_deflator,coefficient_fitting,7,0.22448119707333156,0.47122996740607487,0.0028799770650158913,0.003453782565079904,nominal GDP / real GDP ratio,true
calibrated,annual_policy_rate,coefficient_fitting,7,4.60902957544311,5.62497977903745,0.21290263399044548,0.22536105577533294,percentage points,true
calibrated,real_gdp,excluded_from_coefficient_fitting,2,0.15376660966085215,0.22664090119404462,9320.900720109232,10320.457675996577,million chained 2017 USD per quarter,true
calibrated,real_household_consumption,excluded_from_coefficient_fitting,2,0.32151306392287515,0.5769793522053808,13424.05633629905,17133.787189408118,million chained 2017 USD per quarter,true
calibrated,real_government_consumption,excluded_from_coefficient_fitting,2,0.6429671343350749,0.8306120946178185,6425.455210243352,6695.148307236161,million chained 2017 USD per quarter,true
calibrated,real_fixed_capitalformation,excluded_from_coefficient_fitting,2,1.094345729231633,1.1531352310423437,12352.681402979651,12376.48048252295,million chained 2017 USD per quarter,true
calibrated,real_exports,excluded_from_coefficient_fitting,2,1.4236873424048198,2.1658097702618546,9838.86807397037,11077.00602596348,million chained 2017 USD per quarter,true
calibrated,real_imports,excluded_from_coefficient_fitting,2,2.4417579363793096,2.509414278773989,23252.50965029915,23254.82971516916,million chained 2017 USD per quarter,true
calibrated,wages,excluded_from_coefficient_fitting,2,0.397529931570707,0.45974927798620896,13216.534458592534,13368.252570095798,million current USD per quarter,true
calibrated,gdp_deflator,excluded_from_coefficient_fitting,2,0.49150599141876755,0.8203105580640038,0.006560137147498701,0.007908002978591257,nominal GDP / real GDP ratio,true
calibrated,annual_policy_rate,excluded_from_coefficient_fitting,2,3.1989007642258898,3.2620314594995343,0.11633125343583905,0.11635185096496334,percentage points,true
