sample_track,model_id,target_id,horizon,observation_count,rmse,mae
abm_all_available_common_cells,univariate_ar_p1_constant,effective_federal_funds_rate,2,60,0.7303930864684315,0.4062301762921632
abm_all_available_common_cells,univariate_ar_p1_constant,effective_federal_funds_rate,4,58,1.272752060332156,0.7508102923358237
abm_all_available_common_cells,univariate_ar_p1_constant,effective_federal_funds_rate,8,54,1.9724047203491208,1.3125477477044727
abm_all_available_common_cells,univariate_ar_p1_constant,effective_federal_funds_rate,12,50,2.278897188904244,1.604173486908887
abm_all_available_common_cells,univariate_ar_p4_constant,real_gdp,1,61,9.794935041741821,3.7200651669089164
abm_all_available_common_cells,univariate_ar_p4_constant,real_gdp,2,60,7.5467984052729875,3.1393851866985987
abm_all_available_common_cells,univariate_ar_p4_constant,real_gdp,4,58,6.266629012505121,2.70304865215183
abm_all_available_common_cells,univariate_ar_p4_constant,real_gdp,8,54,6.74019848069036,2.962774491990535
abm_all_available_common_cells,univariate_ar_p4_constant,real_gdp,12,50,6.912774752212147,3.0948652110683974
abm_all_available_common_cells,univariate_ar_p4_constant,gdp_deflator,1,61,1.4425176428424884,1.1100312737621667
abm_all_available_common_cells,univariate_ar_p4_constant,gdp_deflator,2,60,1.6218031413109086,1.131741823381153
abm_all_available_common_cells,univariate_ar_p4_constant,gdp_deflator,4,58,2.0854006411637176,1.3549476503923652
abm_all_available_common_cells,univariate_ar_p4_constant,gdp_deflator,8,54,2.284566138517861,1.4961486867029836
abm_all_available_common_cells,univariate_ar_p4_constant,gdp_deflator,12,50,2.3173729950334097,1.485963944969872
abm_all_available_common_cells,univariate_ar_p4_constant,nominal_gdp,1,61,11.569814886757213,4.793608825639679
abm_all_available_common_cells,univariate_ar_p4_constant,nominal_gdp,2,60,8.648541135226205,3.7529521847084415
abm_all_available_common_cells,univariate_ar_p4_constant,nominal_gdp,4,58,7.838662797871424,3.6276900506406156
abm_all_available_common_cells,univariate_ar_p4_constant,nominal_gdp,8,54,7.296483441290225,3.4330336374842454
abm_all_available_common_cells,univariate_ar_p4_constant,nominal_gdp,12,50,7.54843472177939,3.638053186112753
abm_all_available_common_cells,univariate_ar_p4_constant,unemployment_rate,1,61,3.0062752821639993,0.9772007845691556
abm_all_available_common_cells,univariate_ar_p4_constant,unemployment_rate,2,60,3.748610745017729,1.214540089154608
abm_all_available_common_cells,univariate_ar_p4_constant,unemployment_rate,4,58,5.74250756170456,2.0772827288114817
abm_all_available_common_cells,univariate_ar_p4_constant,unemployment_rate,8,54,2.811584516457303,1.8735175583761654
abm_all_available_common_cells,univariate_ar_p4_constant,unemployment_rate,12,50,6.545687230778066,2.9246715196892707
abm_all_available_common_cells,univariate_ar_p4_constant,effective_federal_funds_rate,1,61,0.2811942759455555,0.19348363377275624
abm_all_available_common_cells,univariate_ar_p4_constant,effective_federal_funds_rate,2,60,0.573466837057894,0.4127599999197031
abm_all_available_common_cells,univariate_ar_p4_constant,effective_federal_funds_rate,4,58,1.1273407723950837,0.8184270291759668
abm_all_available_common_cells,univariate_ar_p4_constant,effective_federal_funds_rate,8,54,1.9929020262872241,1.6405812973085647
abm_all_available_common_cells,univariate_ar_p4_constant,effective_federal_funds_rate,12,50,2.41479468447564,2.084102698565539
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,real_gdp,1,61,9.04664670024397,3.297864119656172
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,real_gdp,2,60,7.371783480774824,3.0576247452102137
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,real_gdp,4,58,7.186585500067501,3.044728562147678
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,real_gdp,8,54,6.714934650945641,2.9682740461143
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,real_gdp,12,50,6.865110779820829,3.069025939172327
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,gdp_deflator,1,61,1.4118689406438747,1.0706512096410743
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,gdp_deflator,2,60,1.62497941857077,1.111064112577368
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,gdp_deflator,4,58,2.063115478006406,1.3180719041979259
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,gdp_deflator,8,54,2.1859402062536315,1.438844088504014
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,gdp_deflator,12,50,2.2288422933142864,1.465265298139257
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,nominal_gdp,1,61,10.100219866779002,4.012468337238543
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,nominal_gdp,2,60,8.418205641591438,3.790737360269346
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,nominal_gdp,4,58,8.497505757828987,3.7767276860574563
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,nominal_gdp,8,54,8.124923376616069,3.8426207447456315
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,nominal_gdp,12,50,7.93245602336929,3.9526654810563557
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,unemployment_rate,1,61,2.626804951966387,0.7953247232750854
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,unemployment_rate,2,60,3.407464178582979,1.0874197110780723
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,unemployment_rate,4,58,4.84118280476339,1.6759283857272718
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,unemployment_rate,8,54,3.516064155871964,2.1010563322185742
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,unemployment_rate,12,50,8.220870563658599,3.394166260524412
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,effective_federal_funds_rate,1,61,0.2719990958553592,0.18745005327739225
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,effective_federal_funds_rate,2,60,0.5632437794167708,0.40526678929401044
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,effective_federal_funds_rate,4,58,1.1345686015825067,0.8537256738864881
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,effective_federal_funds_rate,8,54,1.9777121333718266,1.6543369887708623
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,effective_federal_funds_rate,12,50,2.2859058320747043,1.9444602834284053
abm_all_available_common_cells,beforeit_var_p1_constant,real_gdp,1,61,9.088555880484682,3.6437905971272677
abm_all_available_common_cells,beforeit_var_p1_constant,real_gdp,2,60,7.350004268648322,3.4640168313591535
abm_all_available_common_cells,beforeit_var_p1_constant,real_gdp,4,58,6.352387920785006,2.9320164723391753
abm_all_available_common_cells,beforeit_var_p1_constant,real_gdp,8,54,7.857105542007758,3.4355828217012196
abm_all_available_common_cells,beforeit_var_p1_constant,real_gdp,12,50,6.730027949591218,2.9337010920605646
abm_all_available_common_cells,beforeit_var_p1_constant,gdp_deflator,1,61,1.799886199242383,1.1874803590831393
abm_all_available_common_cells,beforeit_var_p1_constant,gdp_deflator,2,60,2.137430546282033,1.4229686239333252
abm_all_available_common_cells,beforeit_var_p1_constant,gdp_deflator,4,58,2.3589154106693546,1.551223106725149
abm_all_available_common_cells,beforeit_var_p1_constant,gdp_deflator,8,54,2.091064639732065,1.506688709195778
abm_all_available_common_cells,beforeit_var_p1_constant,gdp_deflator,12,50,2.3654829804374904,1.6420864598078146
abm_all_available_common_cells,beforeit_var_p1_constant,nominal_gdp,1,61,10.42451252916068,4.08754071321162
abm_all_available_common_cells,beforeit_var_p1_constant,nominal_gdp,2,60,8.717695380475288,4.163748877262029
abm_all_available_common_cells,beforeit_var_p1_constant,nominal_gdp,4,58,7.3855776255903764,3.77138246819623
abm_all_available_common_cells,beforeit_var_p1_constant,nominal_gdp,8,54,8.738842757859924,4.3884928570132615
abm_all_available_common_cells,beforeit_var_p1_constant,nominal_gdp,12,50,7.7455130305736954,3.947203844746907
abm_all_available_common_cells,beforeit_var_p1_constant,unemployment_rate,1,61,2.10292650804041,0.5908583347741178
abm_all_available_common_cells,beforeit_var_p1_constant,unemployment_rate,2,60,3.3082199892300603,0.9406673421710997
abm_all_available_common_cells,beforeit_var_p1_constant,unemployment_rate,4,58,4.167567397137974,1.4258803065019623
abm_all_available_common_cells,beforeit_var_p1_constant,unemployment_rate,8,54,2.2417902345429317,1.4799584548751004
abm_all_available_common_cells,beforeit_var_p1_constant,unemployment_rate,12,50,3.8982134670486452,2.0737860695751578
abm_all_available_common_cells,beforeit_var_p1_constant,effective_federal_funds_rate,1,61,0.6637953930085977,0.37305783204888043
abm_all_available_common_cells,beforeit_var_p1_constant,effective_federal_funds_rate,2,60,1.2450982741282128,0.6780022991117325
abm_all_available_common_cells,beforeit_var_p1_constant,effective_federal_funds_rate,4,58,2.07235146003868,1.1901730996397986
abm_all_available_common_cells,beforeit_var_p1_constant,effective_federal_funds_rate,8,54,2.3793370608254643,1.7407505263270446
abm_all_available_common_cells,beforeit_var_p1_constant,effective_federal_funds_rate,12,50,2.688415687382162,2.0948450203549536
abm_all_available_common_cells,beforeit_var_p2_constant,real_gdp,1,61,9.579899667710045,4.351361306544352
abm_all_available_common_cells,beforeit_var_p2_constant,real_gdp,2,60,9.537087196899904,4.292819681375678
abm_all_available_common_cells,beforeit_var_p2_constant,real_gdp,4,58,12.137043338803299,4.383575052978435
abm_all_available_common_cells,beforeit_var_p2_constant,real_gdp,8,54,26.680830919219506,6.893372912745296
abm_all_available_common_cells,beforeit_var_p2_constant,real_gdp,12,50,66.75191609607441,13.400934041514104
abm_all_available_common_cells,beforeit_var_p2_constant,gdp_deflator,1,61,1.6207892282435767,1.1607176047020824
abm_all_available_common_cells,beforeit_var_p2_constant,gdp_deflator,2,60,2.397452146138949,1.465234733172361
abm_all_available_common_cells,beforeit_var_p2_constant,gdp_deflator,4,58,3.11337782955845,1.7848344277176087
abm_all_available_common_cells,beforeit_var_p2_constant,gdp_deflator,8,54,5.531162235575966,2.509761008367439
abm_all_available_common_cells,beforeit_var_p2_constant,gdp_deflator,12,50,11.97461078484844,3.886064244533435
abm_all_available_common_cells,beforeit_var_p2_constant,nominal_gdp,1,61,10.457905828119568,4.933546257448792
abm_all_available_common_cells,beforeit_var_p2_constant,nominal_gdp,2,60,10.794834449598921,5.032911675701328
abm_all_available_common_cells,beforeit_var_p2_constant,nominal_gdp,4,58,13.538893378720267,5.51016347398623
abm_all_available_common_cells,beforeit_var_p2_constant,nominal_gdp,8,54,30.540379227328916,8.931757764376654
abm_all_available_common_cells,beforeit_var_p2_constant,nominal_gdp,12,50,76.60985905261835,16.57298757684322
abm_all_available_common_cells,beforeit_var_p2_constant,unemployment_rate,1,61,2.065844565402677,0.746682188018338
abm_all_available_common_cells,beforeit_var_p2_constant,unemployment_rate,2,60,2.6168584797791943,0.9516968168075949
abm_all_available_common_cells,beforeit_var_p2_constant,unemployment_rate,4,58,2.886434601409644,1.3811294793792026
abm_all_available_common_cells,beforeit_var_p2_constant,unemployment_rate,8,54,3.4158440095062064,1.917310838493731
abm_all_available_common_cells,beforeit_var_p2_constant,unemployment_rate,12,50,7.6584258019045395,3.0192931834701295
abm_all_available_common_cells,beforeit_var_p2_constant,effective_federal_funds_rate,1,61,0.35471846452938766,0.27865700077572064
abm_all_available_common_cells,beforeit_var_p2_constant,effective_federal_funds_rate,2,60,0.7463634182013058,0.5487849601785013
abm_all_available_common_cells,beforeit_var_p2_constant,effective_federal_funds_rate,4,58,1.2902508573613536,0.9305254493797221
abm_all_available_common_cells,beforeit_var_p2_constant,effective_federal_funds_rate,8,54,2.0709164308644583,1.514360467310289
abm_all_available_common_cells,beforeit_var_p2_constant,effective_federal_funds_rate,12,50,2.826640894484204,2.0182442466347674
abm_all_available_common_cells,beforeit_var_p3_constant,real_gdp,1,61,8.661769435395632,4.597492860019241
abm_all_available_common_cells,beforeit_var_p3_constant,real_gdp,2,60,10.508705808497607,5.444281864381704
abm_all_available_common_cells,beforeit_var_p3_constant,real_gdp,4,58,13.411813278944637,5.400079943553273
abm_all_available_common_cells,beforeit_var_p3_constant,real_gdp,8,54,27.122147996133204,8.536661007015667
abm_all_available_common_cells,beforeit_var_p3_constant,real_gdp,12,50,278.12664143325566,45.71023818162209
abm_all_available_common_cells,beforeit_var_p3_constant,gdp_deflator,1,61,1.9793534507810182,1.3366047986767837
abm_all_available_common_cells,beforeit_var_p3_constant,gdp_deflator,2,60,3.916394603289584,2.0037271957282714
abm_all_available_common_cells,beforeit_var_p3_constant,gdp_deflator,4,58,4.583305839436251,2.364514937978538
