idx,code,supply,imports,uses_before,uses_after,delta,delta_pct,gap_before_pct,gap_after_pct
33,486,47862.987612,0.000000,49979.228947,47862.987612,-2116.241335,-4.234242,4.421457,0.000000
34,487OS,235636.957364,0.000000,223546.853508,235636.957364,12090.103856,5.408309,-5.130818,0.000000
35,493,121967.593904,0.000000,101643.538107,121967.593904,20324.055797,19.995423,-16.663488,0.000000
36,4A0,1628265.347436,0.000000,1443791.892406,1628265.347436,184473.455029,12.777011,-11.329447,0.000000
37,511,386073.239718,4422.713760,330524.990768,386073.239718,55548.248950,16.806066,-14.388008,0.000000
38,512,157979.441413,11025.568743,166742.807236,157979.441413,-8763.365823,-5.255618,5.547156,0.000000
39,513,815936.170658,157.564752,711257.089539,815936.170658,104679.081119,14.717475,-12.829322,0.000000
40,514,362239.008559,1241.689523,323596.819767,362239.008559,38642.188793,11.941461,-10.667595,0.000000
41,521CI,1056782.637592,6586.008436,985983.418312,1056782.637592,70799.219280,7.180569,-6.699506,0.000000
42,523,545161.104470,56.485477,571661.429991,545161.104470,-26500.325521,-4.635668,4.861008,0.000000
43,524,1064166.559495,52217.355182,1059216.491622,1064166.559495,4950.067873,0.467333,-0.465159,0.000000
44,525,155987.829364,0.000000,185259.841104,155987.829364,-29272.011741,-15.800516,18.765574,0.000000
45,532RL,334171.811001,0.000000,434014.630647,334171.811001,-99842.819646,-23.004482,29.877691,0.000000
46,5411,341956.207976,3826.147844,347479.860300,341956.207976,-5523.652324,-1.589632,1.615310,0.000000
47,5412OP,1449817.443232,90436.221773,2120290.407486,1449817.443232,-670472.964254,-31.621752,46.245337,0.000000
48,5415,502045.797934,33833.809816,595055.256384,502045.797934,-93009.458449,-15.630390,18.526090,0.000000
49,55,564081.905018,0.000000,519492.079495,564081.905018,44589.825524,8.583350,-7.904849,0.000000
50,561,928153.555670,1920.506222,872969.399037,928153.555670,55184.156633,6.321431,-5.945585,0.000000
51,562,112651.666821,231.887748,134707.158790,112651.666821,-22055.491969,-16.372917,19.578487,0.000000
52,61,356234.759841,1715.374752,378908.653921,356234.759841,-22673.894080,-5.984000,6.364874,0.000000
53,621,1064293.806925,101.079275,1079605.361312,1064293.806925,-15311.554387,-1.418255,1.438659,0.000000
54,622,841893.545996,4398.930402,1050300.073818,841893.545996,-208406.527822,-19.842570,24.754499,0.000000
55,623,238972.929634,28.738225,239890.361330,238972.929634,-917.431696,-0.382438,0.383906,0.000000
56,624,221203.321669,0.000000,224246.258172,221203.321669,-3042.936503,-1.356962,1.375629,0.000000
57,711AS,192939.533080,1313.039599,181635.732090,192939.533080,11303.800990,6.223335,-5.858727,0.000000
58,713,142169.801488,0.000000,205035.995993,142169.801488,-62866.194505,-30.661053,44.219091,0.000000
59,721,255624.295831,0.000000,218199.176988,255624.295831,37425.118843,17.151815,-14.640674,0.000000
60,722,754625.053290,0.000000,883220.110272,754625.053290,-128595.056982,-14.559797,17.040921,0.000000
61,81,695642.504781,4742.798131,823736.324923,695642.504781,-128093.820143,-15.550343,18.413743,0.000000
62,GFE,100619.482247,286.391279,59977.616317,100619.482247,40641.865929,67.761722,-40.391647,0.000000
63,GFGD,619028.190208,0.000000,606123.337570,619028.190208,12904.852638,2.129080,-2.084695,-0.000000
64,GFGN,403198.220991,0.000000,383422.629841,403198.220991,19775.591150,5.157648,-4.904682,-0.000000
65,GSLE,367151.747888,0.000000,106413.049870,367151.747888,260738.698018,245.025115,-71.016603,0.000000
66,GSLG,2244090.264039,0.000000,1756822.035629,2244090.264039,487268.228410,27.735776,-21.713397,-0.000000
67,HS,2051125.160584,0.000000,2042845.322897,2051125.160584,8279.837686,0.405309,-0.403673,0.000000
68,ORE,1252569.993163,0.000000,1263482.806620,1252569.993163,-10912.813457,-0.863709,0.871234,0.000000
