origin_index,parameter,mode_value
73,sigma_rate,0.12918961122797695
73,sigma_g,0.7519125482460637
73,sigma_z,0.2061840994262699
74,tau,3.0198023086622667
74,kappa,0.22208848938461515
74,psi1,1.480465622792785
74,psi2,0.4114333582307935
74,r_annual,2.925426221580947e-6
74,pi_star,0.7600587360640774
74,gamma_quarterly,-0.10456990476485306
74,rho_rate,0.8352496762124763
74,rho_g,0.9878331237002641
74,rho_z,0.912598748733901
74,sigma_rate,0.1288753236392736
74,sigma_g,0.7460541886291222
74,sigma_z,0.2046506442483905
75,tau,3.0493481581291997
75,kappa,0.22235354885021894
75,psi1,1.478581734143884
75,psi2,0.40957001594077735
75,r_annual,1.0005839394829266e-8
75,pi_star,0.7403555592598696
75,gamma_quarterly,-0.09767355266086739
75,rho_rate,0.8364350235965099
75,rho_g,0.9879217644059002
75,rho_z,0.9128723652361369
75,sigma_rate,0.12877011620497456
75,sigma_g,0.7407405038828526
75,sigma_z,0.2031283023939088
76,tau,3.0554570513873496
76,kappa,0.2216512562141868
76,psi1,1.478979712926881
76,psi2,0.4103686572297301
76,r_annual,2.4354105465293625e-8
76,pi_star,0.7403275618678753
76,gamma_quarterly,-0.09786762580443353
76,rho_rate,0.8371032282045471
76,rho_g,0.988251644924082
76,rho_z,0.9132639307700996
76,sigma_rate,0.12781289970717807
76,sigma_g,0.7362041675508121
76,sigma_z,0.20273235470854975
77,tau,3.061786340478468
77,kappa,0.22578415381122022
77,psi1,1.480958387509302
77,psi2,0.41199648443362785
77,r_annual,3.869843791214652e-8
77,pi_star,0.7232795454991946
77,gamma_quarterly,-0.10397393801983826
77,rho_rate,0.8371041610558854
77,rho_g,0.988803535000838
77,rho_z,0.9120029376536624
77,sigma_rate,0.12686528534650607
77,sigma_g,0.741904097143371
77,sigma_z,0.20334274307511593
78,tau,3.0641407860690277
78,kappa,0.22683381689792895
78,psi1,1.4804083025502948
78,psi2,0.4123105091805202
78,r_annual,7.044559595027722e-8
78,pi_star,0.7104850850308061
78,gamma_quarterly,-0.11341512736234274
78,rho_rate,0.8356181292215572
78,rho_g,0.9892275946125323
78,rho_z,0.9111384851623809
78,sigma_rate,0.12646808186936004
78,sigma_g,0.7388791663443721
78,sigma_z,0.2035756753406259
79,tau,2.962943992087421
79,kappa,0.23677030442118138
79,psi1,1.515738014301537
79,psi2,0.4375679163315526
79,r_annual,1.0942680413941892e-8
79,pi_star,0.8256938820885533
79,gamma_quarterly,-0.12207955984510535
79,rho_rate,0.8358726630529975
79,rho_g,0.98928952417529
79,rho_z,0.9098022709596075
79,sigma_rate,0.12604210092467527
79,sigma_g,0.7738725279943738
79,sigma_z,0.20306811493400728
80,tau,2.245926055265389
80,kappa,0.1763860328099854
80,psi1,1.5346166723812886
80,psi2,0.49469862543543636
80,r_annual,4.472944666494328e-9
80,pi_star,1.2626188736448594
80,gamma_quarterly,-0.1408780401588776
80,rho_rate,0.8486390528179052
80,rho_g,0.9856776339605969
80,rho_z,0.8975176397172023
80,sigma_rate,0.12161909135015328
80,sigma_g,1.0912535020699659
80,sigma_z,0.26239825778587594
81,tau,1.8100323671809113
81,kappa,0.13940859540945325
81,psi1,1.48322055563311
81,psi2,0.4327469331518971
81,r_annual,7.914871905446525e-8
81,pi_star,1.3083570808546732
81,gamma_quarterly,-0.14697365918198896
81,rho_rate,0.8604458511590191
81,rho_g,0.9867925211462366
81,rho_z,0.8952484817406436
81,sigma_rate,0.12055412329296875
81,sigma_g,1.2081920617022965
81,sigma_z,0.2958737648089609
82,tau,1.8772404110896597
82,kappa,0.14042223927745373
82,psi1,1.4811778400165196
82,psi2,0.4283039718513745
82,r_annual,1.7567365705719102e-7
82,pi_star,1.270786733294975
82,gamma_quarterly,-0.16251150584581753
82,rho_rate,0.8608123469279858
82,rho_g,0.9869675287993184
82,rho_z,0.8948806049373802
82,sigma_rate,0.12003572815655472
82,sigma_g,1.2141440781933892
82,sigma_z,0.29860069146410584
83,tau,1.954188543920157
83,kappa,0.13435298417483782
83,psi1,1.4626978019112624
83,psi2,0.3949800671178583
83,r_annual,4.921125274990902e-7
83,pi_star,1.249045632825582
83,gamma_quarterly,-0.1573022954303464
83,rho_rate,0.870602538335754
83,rho_g,0.9864645000200326
83,rho_z,0.9008381361431234
83,sigma_rate,0.12151792197221804
83,sigma_g,1.2067288544864858
83,sigma_z,0.2935542997576702
84,tau,2.1845024471368935
84,kappa,0.11492732020753069
84,psi1,1.4131755364000447
84,psi2,0.32580602334176434
84,r_annual,3.496140981965469e-5
84,pi_star,1.1233409150502365
84,gamma_quarterly,-0.1514096752367435
84,rho_rate,0.8818586589215779
84,rho_g,0.9835799363376443
84,rho_z,0.9094573919555082
84,sigma_rate,0.12335842058442222
84,sigma_g,1.1857689287929836
84,sigma_z,0.2920393306383027
85,tau,2.3620681711958995
85,kappa,0.10263001806435322
85,psi1,1.3767327925151096
85,psi2,0.28374360137007054
85,r_annual,5.129302190572384e-8
85,pi_star,1.0325790001180826
85,gamma_quarterly,-0.14451528145040263
85,rho_rate,0.8895139246838718
85,rho_g,0.9809277721490508
85,rho_z,0.9153991718723946
85,sigma_rate,0.12432587014792296
85,sigma_g,1.1699393855153695
85,sigma_z,0.2883249906275622
86,tau,2.541404271281362
86,kappa,0.09083359482761325
86,psi1,1.3404093120338185
86,psi2,0.2479551382071281
86,r_annual,2.75621113009004e-7
86,pi_star,0.9486620548611608
86,gamma_quarterly,-0.12824081355300698
86,rho_rate,0.8977197381123643
86,rho_g,0.9781317859708473
86,rho_z,0.9217670616610069
86,sigma_rate,0.12550301557963667
86,sigma_g,1.156319160579583
86,sigma_z,0.2835912544727619
87,tau,2.6268864307872173
87,kappa,0.08533932079599582
87,psi1,1.3235814997172763
87,psi2,0.2345822306790169
87,r_annual,5.224990225157606e-7
87,pi_star,0.9408464038346533
87,gamma_quarterly,-0.09735761748096482
87,rho_rate,0.9078890854227125
87,rho_g,0.9769056225332556
87,rho_z,0.9299208660449777
87,sigma_rate,0.12659326468110454
87,sigma_g,1.169438269617621
87,sigma_z,0.2645481681971802
88,tau,2.7063996460102944
88,kappa,0.07991580807993469
88,psi1,1.3111449098535566
88,psi2,0.2274605656279508
88,r_annual,4.813360428334868e-7
88,pi_star,0.9425484527132066
88,gamma_quarterly,-0.07692874944016792
88,rho_rate,0.9141350568603817
88,rho_g,0.976822806956655
88,rho_z,0.9365745393470302
88,sigma_rate,0.12538054463317758
88,sigma_g,1.1743801252724089
88,sigma_z,0.2515457954870516
89,tau,2.6557004710956793
89,kappa,0.10506942867149162
89,psi1,1.3451260452592786
89,psi2,0.25652337157908206
89,r_annual,2.713496094721173e-7
89,pi_star,0.9462745801347149
89,gamma_quarterly,-0.08689094201927122
89,rho_rate,0.9090567392162592
89,rho_g,0.9776726125257952
89,rho_z,0.9262164616960763
89,sigma_rate,0.12891474241460193
89,sigma_g,1.199124055823725
89,sigma_z,0.2611790649292953
90,tau,2.6647618962541
90,kappa,0.10527250722087991
90,psi1,1.361232733277205
90,psi2,0.2706888517373627
90,r_annual,2.4392738285714956e-7
90,pi_star,0.9432720170379386
90,gamma_quarterly,-0.06182950355233348
90,rho_rate,0.9077977132082152
90,rho_g,0.977351641743248
90,rho_z,0.9267256947301238
90,sigma_rate,0.13341778680952554
90,sigma_g,1.190887685260262
90,sigma_z,0.2623097291141561
