idx,code,supply,imports,uses_before,uses_after,delta,delta_pct,gap_before_pct,gap_after_pct
51,562,173137.484059,552.217879,204836.036423,173137.484059,-31698.552364,-15.475086,18.308313,0.000000
52,61,494559.355262,2695.656036,508692.272353,494559.355262,-14132.917091,-2.778284,2.857679,0.000000
53,621,1612491.837065,297.424351,1650052.314929,1612491.837065,-37560.477864,-2.276320,2.329344,0.000000
54,622,1256880.605884,10497.096765,1544318.167908,1256880.605884,-287437.562024,-18.612587,22.869122,0.000000
55,623,339976.683470,85.261647,340784.068948,339976.683470,-807.385477,-0.236920,0.237483,0.000000
56,624,349245.214814,0.000000,351505.462035,349245.214814,-2260.247221,-0.643019,0.647181,0.000000
57,711AS,311528.889305,630.539624,293827.417491,311528.889305,17701.471814,6.024445,-5.682129,0.000000
58,713,225825.588109,2.974244,302624.253494,225825.588109,-76798.665385,-25.377565,34.007955,0.000000
59,721,342720.694050,0.000000,291030.074523,342720.694050,51690.619526,17.761264,-15.082433,0.000000
60,722,1264140.888160,0.000000,1439961.018895,1264140.888160,-175820.130736,-12.210062,13.908270,0.000000
61,81,1068307.021747,0.000000,1264985.771539,1068307.021747,-196678.749792,-15.547902,18.410321,0.000000
62,GFE,117131.526889,195.308657,70181.444653,117131.526889,46950.082236,66.898142,-40.083215,0.000000
63,GFGD,883928.692540,0.000000,865004.626272,883928.692539,18924.066267,2.187742,-2.140904,-0.000000
64,GFGN,626264.965872,0.000000,593748.333525,626264.965871,32516.632346,5.476501,-5.192153,-0.000000
65,GSLE,528025.405611,0.000000,155374.924784,528025.405611,372650.480828,239.839525,-70.574347,0.000000
66,GSLG,3258102.626749,0.000000,2580926.046777,3258102.626749,677176.579972,26.237737,-20.784385,-0.000000
67,HS,3190761.524279,0.000000,3171673.200192,3190761.524279,19088.324086,0.601838,-0.598237,0.000000
68,ORE,2029129.371383,0.000000,2044536.744294,2029129.371383,-15407.372911,-0.753587,0.759310,0.000000
